SendShipNO,MMSI,SendTime,Lon,Lat,SOG,COG,geometry
0,41200015,0,119.97695409987199,35.007625683119144,14.605774660559751,351.7499408253291,POINT (119.97695409987199 35.007625683119144)
0,41200019,0,119.97302787871651,35.02057458287241,9.727944796436152,246.22457352230464,POINT (119.97302787871651 35.02057458287241)
0,41200021,0,120.07227165874113,34.98377808338013,7.988284510909706,127.74463498463591,POINT (120.07227165874113 34.98377808338013)
0,41200025,0,119.99734137933248,34.92219471424817,8.809702717549003,11.734147426194658,POINT (119.99734137933248 34.92219471424817)
0,41200028,0,120.01484544973269,34.981937589416944,19.252363766645864,359.8086260954316,POINT (120.01484544973269 34.981937589416944)
0,41200049,0,119.99902451171972,34.95696827337315,13.899389382632647,317.3231449931165,POINT (119.99902451171972 34.95696827337315)
0,41200050,0,120.06000795809193,34.93509592128179,19.827464343554475,0.06773339945985679,POINT (120.06000795809193 34.93509592128179)
0,41200055,0,119.97103576462986,34.828808338064974,9.023142732523528,176.93338905991098,POINT (119.97103576462986 34.828808338064974)
0,41200066,0,120.0507068551712,34.836516089867175,17.21651429887198,326.30313906955763,POINT (120.0507068551712 34.836516089867175)
0,41200074,0,119.97014870474095,34.97111867750539,18.834162026931992,333.28439227041724,POINT (119.97014870474095 34.97111867750539)
0,41200075,0,119.89239929475052,34.905520827312365,7.544070675054322,309.8242891529248,POINT (119.89239929475052 34.905520827312365)
0,41200089,0,120.0603415753283,35.00417431619967,18.00539713331688,206.90095532513436,POINT (120.0603415753283 35.00417431619967)
0,41200091,0,120.03730962479919,34.99332969575003,5.588485376630159,164.59247927982125,POINT (120.03730962479919 34.99332969575003)
0,41200092,0,120.03713818938826,34.83763621091755,18.208591364953563,89.7297861491413,POINT (120.03713818938826 34.83763621091755)
0,41200098,0,120.06434815687255,34.9815919349475,5.0,133.3790771370705,POINT (120.06434815687255 34.9815919349475)
0,41200108,0,119.88511817970739,34.876370036961056,7.083578556943751,157.05399398085154,POINT (119.88511817970739 34.876370036961056)
0,41200007,0,120.01367675116312,34.83332154040202,16.6499513490015,180.50596035419832,POINT (120.01367675116312 34.83332154040202)
1,41200035,0,120.17444145534138,34.81806577324212,9.655736669179307,335.83661981399035,POINT (120.17444145534138 34.81806577324212)
1,41200037,0,120.19313156318736,34.83116340263738,12.414502748857183,198.69497959795808,POINT (120.19313156318736 34.83116340263738)
