SendShipNO,SendTime,Lon,Lat,SOG,COG,geometry
0,0,119.98322197928964,34.923339842785964,6.166766810640121,99.87283863220533,POINT (119.98322197928964 34.923339842785964)
1,0,120.12689392476106,34.844538654437,13.275870121176544,99.64363918914516,POINT (120.12689392476106 34.844538654437)
2,0,120.0728698696754,35.0715883135643,16.34091353457937,16.488778508183902,POINT (120.0728698696754 35.0715883135643)
3,0,120.16503930976415,34.88552639453483,7.465471422905292,356.0629044421219,POINT (120.16503930976415 34.88552639453483)
4,0,119.87435260116845,35.19548993416446,15.501516164695374,80.05897624116312,POINT (119.87435260116845 35.19548993416446)
5,0,119.8591615633319,35.00631611004459,9.096649734322444,25.15684513399532,POINT (119.8591615633319 35.00631611004459)
6,0,119.93529030807758,34.80441488851606,15.81550144509833,314.89996696421696,POINT (119.93529030807758 34.80441488851606)
7,0,120.01343772828623,34.83376509981144,16.837961523013476,181.64923020372817,POINT (120.01343772828623 34.83376509981144)
8,0,120.15264745075747,34.86961851392507,9.253241954212804,299.5655558711236,POINT (120.15264745075747 34.86961851392507)
9,0,120.19146498870789,35.047665906081924,17.65857179586316,89.59568402892225,POINT (120.19146498870789 35.047665906081924)
0,5,119.98339300729596,34.923315326689206,6.265275755942206,97.27454779418306,POINT (119.98339300729596 34.923315326689206)
1,5,120.12726201710579,34.84448708852186,13.727449396684342,96.81362913409099,POINT (120.12726201710579 34.84448708852186)
2,5,120.07300066901256,35.0719516017934,16.647010744771745,17.657357853428636,POINT (120.07300066901256 35.0719516017934)
3,5,120.16502488661533,34.8856990806313,7.78545147803781,358.299996249136,POINT (120.16502488661533 34.8856990806313)
4,5,119.87478385721317,35.19555197821889,15.921579674224827,84.29707884271426,POINT (119.87478385721317 35.19555197821889)
5,5,119.85927053122604,35.006507015495394,8.828302409878901,27.933263628149533,POINT (119.85927053122604 35.006507015495394)
6,5,119.93497539507298,34.80467373352205,16.119769728715887,311.36523697745486,POINT (119.93497539507298 34.80467373352205)
7,5,120.01342410115234,34.83337485281917,17.037870669130488,178.64189234228155,POINT (120.01342410115234 34.83337485281917)
8,5,120.15242102985559,34.86972437502264,9.211728711194732,300.84973486066116,POINT (120.15242102985559 34.86972437502264)
9,5,120.19196282990777,35.04766879417593,17.91323934789418,89.05793079179229,POINT (120.19196282990777 35.04766879417593)
0,9,119.98353296912921,34.92330061128964,6.705116355149878,99.51602509894984,POINT (119.98353296912921 34.92330061128964)
1,9,120.1275686905773,34.84445687882617,13.502335397007254,98.32154940221163,POINT (120.1275686905773 34.84445687882617)
2,9,120.07311459142817,35.07224582755745,16.294176329357345,16.593670338828993,POINT (120.07311459142817 35.07224582755745)
3,9,120.16501968750032,34.885843427993905,7.934964680041172,359.04393500908736,POINT (120.16501968750032 34.885843427993905)
4,9,119.87514183196312,35.195581322923616,15.473760645625639,83.89173711066162,POINT (119.87514183196312 35.195581322923616)
5,9,119.85936376062949,35.006651688733,8.632820543305998,31.82041557317765,POINT (119.85936376062949 35.006651688733)
6,9,119.93470332967688,34.8048713337563,16.24991118870051,312.26409293851964,POINT (119.93470332967688 34.8048713337563)
7,9,120.01343318544001,34.83305890649562,16.612268469482057,181.19005100909263,POINT (120.01343318544001 34.83305890649562)
8,9,120.1522430434395,34.869811993555096,9.510660307581176,297.5140416801045,POINT (120.1522430434395 34.869811993555096)
9,9,120.19236680213575,35.047674256354696,18.113781521642156,86.83614655581242,POINT (120.19236680213575 35.047674256354696)
0,14,119.98371912547671,34.92327490929843,6.366107838278071,103.8727591452167,POINT (119.98371912547671 34.92327490929843)
1,14,120.1279444297282,34.84441156848749,13.238429692405253,95.26396823252786,POINT (120.1279444297282 34.84441156848749)
2,14,120.07324582414905,35.072607879787206,16.580087803705215,11.88862142714437,POINT (120.07324582414905 35.072607879787206)
3,14,120.16501596201628,34.88602738264735,7.581511282203756,359.2850266275114,POINT (120.16501596201628 34.88602738264735)
4,14,119.87557639673874,35.19561949652653,15.50563635976096,81.19844220972779,POINT (119.87557639673874 35.19561949652653)
5,14,119.85949202511263,35.006821762856795,8.454767233597451,29.063867006074094,POINT (119.85949202511263 35.006821762856795)
6,14,119.93436527906117,34.80512473343622,16.243621932209777,308.1647264122761,POINT (119.93436527906117 34.80512473343622)
7,14,120.01342348361773,34.83267381378403,16.122188216755315,183.33263986810272,POINT (120.01342348361773 34.83267381378403)
